"We can't initialize checkout.","Die Zahlung kann nicht initialisiert werden."
"Invoice successfully created!","Die Rechnung wurde erfolgreich erstellt!"
"Monri 3D Secure Verification","Monri 3-D-Secure-Verifikation"
"Invoking 3-D secure form, please wait ...","3-D-Secure-Form wird aufgerufen, warten Sie bitte..."
"Please click","Bitte klicken Sie"
"Order is cancelled!","Die Bestellung wurde abgebrochen!"
"Error occurred, order was not updated! Please contact your administrator...","Ein Fehler ist aufgetreten, die Bestellung wurde nicht aktualisiert! Bitte wenden Sie sich an Ihren Administrator..."
"Order is paid! Monri approval code: %1","Die Bestellung wurde bezahlt! Monri Genehmigungsnummer: %1"
"Order is cancelled! Error: %1","Die Bestellung wurde abgebrochen! Fehler: %1"
"Order is cancelled. Payment unsuccessful, please try again.","Die Bestellung wurde abgebrochen. Zahlung nicht erfolgreich, bitte versuchen Sie es erneut."
"Entering credit card information... Processing!","Eingabe von Kreditkarteninformationen... Wird bearbeitet!"
"Order redirected to Monri... Processing!","Die Bestellung wird an Monri umgeleitet... Wird bearbeitet!"
"Order is successfully processed.","Die Bestellung wurde erfolgreich bearbeitet."
"Error occurred, order not updated! Please contact your administrator... Order number: %1","Ein Fehler ist aufgetreten, die Bestellung wurde nicht aktualisiert! Bitte wenden Sie sich an Ihren Administrator... Bestellungsnummer: %1"
"INVALID DIGEST!","UNGÜLTIGER DIGEST!"
"Order not paid, Monri response: %1","Die Bestellung wurde nicht bezahlt, Monri Antwort: %1"
"Payment unsuccessful! Message: %1","Zahlung nicht erfolgreich! Meldung: %1"
"Order is cancelled... Response code: %1","Die Bestellung wurde abgebrochen... Antwortcode: %1"
"Bosnian","Bosnisch"
"Croatian","Kroatisch"
"English","Englisch"
"Espanol","Spanisch"
"Bosnia-Herzegovina Convertible Mark","Konvertible Mark"
"Croatian Kuna","Kroatische Kuna"
"Euro","Euro"
"US Dollar","US-Dollar"
"Authorize Only","Nur autorisieren"
"Capture","Eingabe"
"Form","Form"
"DirectPay","DirectPay"
"Monri","Monri"
