"Download Log","Download Log"
"Download Log (no file)","Download Log (no file)"
"Success URL","Success URL"
"Cancel URL","Cancel URL"
"Callback URL","Callback URL"
"Undefined","Undefined"
"%1 installment(s)","%1 installment(s)"
English,English
Spanish,Spanish
Bosnian,Bosnian
Croatian,Croatian
Purchase,Purchase
"Authorize Only","Authorize Only"
"File not on disk.","File not on disk."
"Gateway payload empty.","Gateway payload empty."
"Order not found.","Order not found."
"The payment has been denied: %1","The payment has been denied: %1"
"The payment has been denied.","The payment has been denied."
"Error processing payment, please try again later.","Error processing payment, please try again later."
"Missing fields.","Missing fields."
"The payment has been accepted: %1","The payment has been accepted: %1"
"The payment has been accepted.","The payment has been accepted."
"Status field missing.","Status field missing."
"There has been an issue processing your payment.","There has been an issue processing your payment."
"Client error (%1): %2","Client error (%1): %2"
"Client error (%1)","Client error (%1)"
"Server error (%1)","Server error (%1)"
"Order %1","Order %1"
"The currency selected is not supported by Monri Payments.","The currency selected is not supported by Monri Payments."
"Request has an invalid signature.","Request has an invalid signature."
"Place Order","Place Order"
"System error - database","System error - database"
"System error - transaction","System error - transaction"
"Usage limit reached","Usage limit reached"
"Configuration error","Configuration error"
"Invalid terminal","Invalid terminal"
"Inactive terminal","Inactive terminal"
"Invalid merchant","Invalid merchant"
"Duplicate entity","Duplicate entity"
"Invalid acquirer","Invalid acquirer"
"Internal error - host down","Internal error - host down"
"Internal error - host timeout","Internal error - host timeout"
"Internal error - invalid message","Internal error - invalid message"
"Internal error - message format error","Internal error - message format error"
"3D Secure error - invalid request","3D Secure error - invalid request"
"Time expired","Time expired"
"Function not supported","Function not supported"
Timeout,Timeout
"Authorization host not active","Authorization host not active"
"System not ready","System not ready"
"3D Secure error - ECI 7","3D Secure error - ECI 7"
"3D Secure error - not 3D Secure, store policy","3D Secure error - not 3D Secure, store policy"
"3D secure error - not authenticated","3D secure error - not authenticated"
"Request in progress","Request in progress"
"RISK: Minimum amount per transaction","RISK: Minimum amount per transaction"
"RISK: Maximum amount per transaction","RISK: Maximum amount per transaction"
"RISK: Number of repeats per PAN","RISK: Number of repeats per PAN"
"RISK: Number of approved transactions per PAN","RISK: Number of approved transactions per PAN"
"RISK: Number of repeats per BIN","RISK: Number of repeats per BIN"
"RISK: Total sum on amount","RISK: Total sum on amount"
"RISK: Sum on amount of approved transactions per PAN","RISK: Sum on amount of approved transactions per PAN"
"RISK: Sum on amount of approved transactions per BIN","RISK: Sum on amount of approved transactions per BIN"
"RISK: Percentage of declined transactions","RISK: Percentage of declined transactions"
"RISK: Number of chargebacks","RISK: Number of chargebacks"
"RISK: Sum on amount of chargebacks","RISK: Sum on amount of chargebacks"
"RISK: Number of refunded transactions","RISK: Number of refunded transactions"
"RISK: Percentage increment of sum on amount of refunded transactions","RISK: Percentage increment of sum on amount of refunded transactions"
"RISK: Number of approved transactions per PAN and MCC on amount","RISK: Number of approved transactions per PAN and MCC on amount"
"RISK: Number of retrieval requests","RISK: Number of retrieval requests"
"RISK: Sum on amount of retrieval requests","RISK: Sum on amount of retrieval requests"
"RISK: Average amount per transaction","RISK: Average amount per transaction"
"RISK: Percentage increment of average amount per transaction","RISK: Percentage increment of average amount per transaction"
"RISK: Percentage increment of number of transactions","RISK: Percentage increment of number of transactions"
"RISK: Percentage increment of total sum on amount","RISK: Percentage increment of total sum on amount"
"RISK: Number of repeats per IP","RISK: Number of repeats per IP"
"RISK: Number of repeats per cardholder name","RISK: Number of repeats per cardholder name"
"RISK: Number of repeats per cardholder e-mail","RISK: Number of repeats per cardholder e-mail"
"Systan mismatch","Systan mismatch"
"Monri Payments","Monri Payments"
Enabled,Enabled
"Sort Order","Sort Order"
Title,Title
Key,Key
"Authenticity token","Authenticity token"
Language,Language
"Transaction Type","Transaction Type"
Installments,Installments
"Sandbox mode","Sandbox mode"
Debug,Debug
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Gateway Configuration Information","Gateway Configuration Information"
Approved,Approved
"Card expired","Card expired"
"Card suspicious","Card suspicious"
"Card suspended","Card suspended"
"Card stolen","Card stolen"
"Card lost","Card lost"
"Card not found","Card not found"
"Cardholder not found","Cardholder not found"
"Account not found","Account not found"
"Invalid request","Invalid request"
"Not sufficient funds","Not sufficient funds"
"Previously reversed","Previously reversed"
"Further activity prevents reversal","Further activity prevents reversal"
"Further activity prevents void","Further activity prevents void"
"Original transaction has been voided","Original transaction has been voided"
"Preauthorization is not allowed for this card","Preauthorization is not allowed for this card"
"Only full 3D authentication is allowed for this card","Only full 3D authentication is allowed for this card"
"Installments are not allowed for this card","Installments are not allowed for this card"
"Transaction with installments can not be send as preauthorization","Transaction with installments can not be send as preauthorization"
"Installments are not allowed for non ZABA cards","Installments are not allowed for non ZABA cards"
"Transaction declined","Transaction declined"
"Missing fields","Missing fields"
"Extra fields exist","Extra fields exist"
"Invalid card number","Invalid card number"
"Card not active","Card not active"
"Card not configured","Card not configured"
"Invalid amount","Invalid amount"
"Cardholder not active","Cardholder not active"
"Cardholder not configured","Cardholder not configured"
"Cardholder expired","Cardholder expired"
"Original not found","Original not found"
"Payment has been canceled.","Payment has been canceled."
"Payment was not successful.","Payment was not successful."
"Order does not exist.","Order does not exist."
"Gateway response is not valid.","Gateway response is not valid."
"Save for later use.","Save for later use."
"You will be redirected to the WSPay website when you place an order.","You will be redirected to the WSPay website when you place an order."
