"We can't initialize checkout.","Nous ne pouvons pas initialiser le paiement."
"Invoice successfully created!","La facture a été créée!"
"Monri 3D Secure Verification","Chargement vérification Monri 3D Secure"
"Invoking 3-D secure form, please wait ...","Appel du formulaire 3D Secure, veuillez patienter ..."
"Please click","Cliquez s'il vous plaît"
"Order is cancelled!","L’ordre est annulée!"
"Error occurred, order was not updated! Please contact your administrator...","Une erreur s'est produite, l’ordre n'a pas été mise à jour! Veuillez contacter votre administrateur ..."
"Order is paid! Monri approval code: %1","L’ordre est payée! Code d'approbation Monri: %1"
"Order is cancelled! Error: %1","L’ordre est annulée! Erreur: %1"
"Order is cancelled. Payment unsuccessful, please try again.","L’ordre est annulée. Paiement échoué, veuillez réessayer."
"Entering credit card information... Processing!","Saisie des informations de carte de crédit ... Traitement en cours!"
"Order redirected to Monri... Processing!","L’ordre redirigée vers Monri ... Traitement en cours!"
"Order is successfully processed.","L’ordre a été traitée avec succès."
"Error occurred, order not updated! Please contact your administrator... Order number: %1","Une erreur s'est produite, l’ordre n'a pas été mise à jour! Veuillez contacter votre administrateur ... Numéro d’ordre: %1"
"INVALID DIGEST!","DIGEST INVALID!"
"Order not paid, Monri response: %1","L’ordre non payée, réponse de Monri: %1"
"Payment unsuccessful! Message: %1","Paiement échoué! Message: %1"
"Order is cancelled... Response code: %1","L’ordre est annulée ... Code de réponse: %1"
"Bosnian","Bosniaque"
"Croatian","Croate"
"English","Anglais"
"Espanol","Espagnol"
"Bosnia-Herzegovina Convertible Mark","Mark convertible de Bosnie-Herzégovine"
"Croatian Kuna","Kuna Croate"
"Euro","Euro"
"US Dollar","Dollars Américain"
"Authorize Only","Autoriser uniquement"
"Capture","Capturer"
"Form","Formulaire"
"DirectPay","DirectPay"
"Monri","Monri"
"Transaction Approved","Transaction approuvée"
"Card Expired","Carte expirée"
"Card Suspicious","Carte suspecte"
"Card Suspended","Carte suspendue"
"Card Stolen","Carte volée"
"Card Lost","Carte perdue"
"Card Not Found","Carte non trouvée"
"Cardholder Not Found","Détenteur de carte non trouvé"
"Account Not Found","Compte non trouvé"
"Invalid Request","Requête invalide"
"Not Sufficient Funds","Pas de fonds suffisants"
"Previously Reversed","Précédemment inversé"
"Further activity prevents reversal","Une activité supplémentaire empêche l'inversion"
"Further activity prevents void","Une activité supplémentaire empêche l’annulation"
"Original transaction has been voided","La transaction d'origine a été annulée"
"Preauthorization is not allowed for this card","La pré autorisation n'est pas autorisée pour cette carte"
"Only full 3D authentication is allowed for this card","Seule l'authentification 3D complète est autorisée pour cette carte"
"Installments are not allowed for this card","Les versements ne sont pas autorisés pour cette carte"
