"We can't initialize checkout.","Nedá sa spustiť pokladňa."
"Invoice successfully created!","Faktúra bola úspešne vytvorená!"
"Monri 3D Secure Verification","Overenie Monri 3D Secure"
"Invoking 3-D secure form, please wait ...","Vyvoláva sa formulár 3-D Secure, prosím, čakajte ..."
"Please click","Kliknite, prosím"
"Order is cancelled!","Objednávka bola zrušená!"
"Error occurred, order was not updated! Please contact your administrator...","Vyskytla sa chyba - objednávka nebola aktualizovaná. Prosím, obráťte sa na vášho správcu..."
"Order is paid! Monri approval code: %1","Objednávka je zaplatená! Kód schválenia Monri: %1"
"Order is cancelled! Error: %1","Objednávka bola zrušená! Chyba %1"
"Order is cancelled. Payment unsuccessful, please try again.","Objednávka bola zrušená. Platba nebola úspešná. Prosím, skúste to znova."
"Entering credit card information... Processing!","Zadávanie údajov kreditnej karty... Spracúva sa!"
"Order redirected to Monri... Processing!","Objednávka je presmerovaná na Monri... Spracúva sa!"
"Order is successfully processed.","Objednávka bola úspešne spracovaná."
"Error occurred, order not updated! Please contact your administrator... Order number: %1","Vyskytla sa chyba - objednávka nebola aktualizovaná. Prosím, obráťte sa na vášho správcu... Číslo objednávky: %1"
"INVALID DIGEST!","NEPLATNÝ VÝBER!"
"Order not paid, Monri response: %1","Objednávka nie je zaplatená. Odozva Monri: %1"
"Payment unsuccessful! Message: %1","Platba nebola úspešná! Správa: %1"
"Order is cancelled... Response code: %1","Objednávka bola zrušená... Kód odozvy: %1"
"Bosnian","Bosniančina"
"Croatian","Chorvátčina"
"English","Angličtina"
"Espanol","Španielčina"
"Bosnia-Herzegovina Convertible Mark","Bosnia-Herzegovina - Bosnianska Marka"
"Croatian Kuna","Chorvátska kuna"
"Euro","Euro"
"US Dollar","Americký dolár"
"Authorize Only","Len autorizovať"
"Capture","Zachytiť"
"Form","Formulár"
"DirectPay","DirectPay"
"Monri","Monri"
"Transaction Approved","Transakcia bola schválená"
"Card Expired","Platnosť karty uplynula"
"Card Suspicious","Podozrivá karta"
"Card Suspended","Suspendovaná karta"
"Card Stolen","Odcudzená karta"
"Card Lost","Stratená karta"
"Card Not Found","Karta sa nenašla"
"Cardholder Not Found","Držiteľ karty nebol nájdený"
"Account Not Found","Účet nebol nájdený"
"Invalid Request","Neplatná požiadavka"
"Not Sufficient Funds","Nedostatok prostriedkov"
"Previously Reversed","Predtým zvrátené"
"Further activity prevents reversal","Ďalšia činnosť zabráni zvráteniu"
"Further activity prevents void","Ďalšia činnosť zabráni zrušeniu"
"Original transaction has been voided","Pôvodná transakcia bola zrušená"
"Preauthorization is not allowed for this card","Predschválenie nie je pre túto kartu povolené"
"Only full 3D authentication is allowed for this card","Pre túto kartu je povolené len plné 3D overenie"
"Installments are not allowed for this card","Splátky nie sú pre túto kartu povolené"
"Transaction with installments can not be send as preauthorization","Transakcia so splátkami sa nedá odoslať ako preschválenie"
"Installments are not allowed for non ZABA cards","Splátky nie sú povolené pre iné karty ako karty ZABA"
"Transaction declined","Odmietnutá transakcia"
"Missing fields","Chýbajúce polia"
"Extra fields exist","Existujú polia navyše"
"Invalid card number","Neplatné číslo karty"
"Card not active","Karta nie je aktívna"
"Card not configured","Karta nebola konfigurovaná"
"Invalid amount","Neplatná čiastka"
"System Error, Database","Systémová chyba - databáza"
"System Error, Transaction","Systémová chyba - transakcia"
"Cardholder not active","Držiteľ karty nie je aktívny"
"Cardholder not configured","Držiteľ karty nie je nakonfigurovaný"
"Cardholder expired","Platnosť držiteľa uplynula"
"Original not found","Originál sa nenašiel"
"Usage Limit Reached","Dosiahnutý limit použitia"
"Configuration error","Chyba konfigurácie"
"Invalid terminal","Neplatný terminál"
"Inactive terminal","Neaktívny terminál"
"Invalid merchant","Neplatný obchodník"
"Duplicate entity","Duplicitná entita"
"Invalid Acquirer","Neplatný nadobúdateľ"
"Internal error - host down","Interná chyba - hostiteľ je dole"
"Internal error - host timeout","Interná chyba - čas hostiteľa uplynul"
"Internal error - invalid message","Interná chyba - neplatná správa"
"Internal error - message format error","Interná chyba - chybný formát správy"
"3D Secure error - invalid request","Chyba 3D Secure - neplatná požiadavka"
"Time expired","Čas uplynul"
"Function not supported","Funkcia nie je podporovaná"
"Timeout","Čas uplynul"
"Authorization host not active","Overovací hostiteľ nie je aktívny"
"System not ready","Systém nie je pripravený"
"3D Secure error - ECI 7","Chyba 3D Secure - ECI 7"
"3D Secure error - not 3D Secure, store policy","Chyba 3D Secure - nie je 3D Secure - pravidlo obchodu"
"3D secure error - not authenticated","Chyba 3D Secure - nebolo overené"
"RISK: Minimum amount per transaction","RIZIKO: Minimálna čiastka na transakciu"
"RISK: Maximum amount per transaction","RIZIKO: Maximálna čiastka na transakciu"
"RISK: Number of repeats per PAN","RIZIKO: Počet opakovaní na PAN"
"RISK: Number of approved transactions per PAN","RIZIKO: Počet schválených transakcií na PAN"
"RISK: Number of repeats per BIN","RIZIKO: Počet opakovaní na BIN"
"RISK: Total sum on amount","RIZIKO: Celková suma čiastok"
"RISK: Sum on amount of approved transactions per PAN","RIZIKO: Suma čiastok schválených transakcií na PAN"
"RISK: Sum on amount of approved transactions per BIN","RIZIKO: Suma čiastok schválených transakcií na BIN"
"RISK: Percentage of declined transactions","RIZIKO: Percentuálna hodnota zamietnutých transakcií"
"RISK: Number of chargebacks","RIZIKO: Počet spätných naúčtovaní"
"RISK: Sum on amount of chargebacks","RIZIKO: Suma spätne naúčtovaných čiastok"
"RISK: Number of refunded transactions","RIZIKO: Počet refundovaných transakcií"
"RISK: Percentage increment of sum on amount of refunded transactions","RIZIKO: Percentuálny prírastok sumy čiastok refundovaných transakcií"
"RISK: Number of approved transactions per PAN and MCC on amount","RIZIKO: Počet schválených čiastok transakcií na PAN a MCC"
"RISK: Number of retrieval requests","RIZIKO: Počet požiadaviek na nápravu"
"RISK: Sum on amount of retrieval requests","RIZIKO: Suma čiastok požiadaviek na nápravu"
"RISK: Average amount per transaction","RIZIKO: Priemerná čiastka na transakciu"
"RISK: Percentage increment of average amount per transaction","RIZIKO: Precentuálny prírastok priemernej čiastky na transakciu"
"RISK: Percentage increment of number of transactions","RIZIKO: Precentuálny prírastok počtu transakcií"
"RISK: Percentage increment of total sum on amount","RIZIKO: Precentuálny prírastok celkovej sumy čiastok"
"RISK: Number of repeats per IP","RIZIKO: Počet opakovaní na IP"
"RISK: Number of repeats per cardholder name","RIZIKO: Počet opakovaní na meno držiteľa karty"
"RISK: Number of repeats per cardholder e-mail","RIZIKO: Počet opakovaní na e-mail držiteľa karty"
"Internal error - systan mismatch","Interná chyba - nezhoda systan"
"Error with Capture Action.","Chyba s krokom zachytenia"
"Trasaction is not Approved!","Transakcia nie je schválená!"
"Enter your credit card information.","Zadajte údaje vašej kreditnej karty."
"Invalid credit card number","Neplatné číslo kreditnej karty"
"Invalid expiry date","Neplatná doba platnosti"
"Incorrect CVC number","Neplatné číslo CVC"
"Card number","Číslo karty"
"Cvv","Cvv"
"Month","Mesiac"
"Year","Rok"
"No installments","Bez splátok"
"%1 installment(s)","%1 splátka(splátky)"
"Pay","Zaplatiť"
"If you're not redirected automatically  click ""Pay"" button","Ak nie ste presmerovaný automaticky, kliknite tlačidlo ""Zaplatiť"""
"Place Order","Zadať objednávku"
"Required field!","Povinné pole!"
"You must enter 3 digits","Musíte zadať 3 číslice"
"Enabled","Povolené"
"Title","Názov"
"Procesor","Spracúvateľ"
"Payment Type","Druh platby"
"Payment Action","Platobný krok"
"Test Mode","Režim testu"
"Language","Jazyk"
"Key","Kľúč"
"Auth Token","Autorizačný token"
"Currency","Mena"
"New Order Status","Stav novej objednávky"
"Order Status ON Success","Stav objednávky PRI úspechu"
"Order Status On Fail","Stav objednávky pri zlyhaní"
"Payment from Applicable Countries","Platba z uplatniteľných krajín"
"Payment from Specific Countries","Platba zo špecifických krajín"
"Payment in installments","Platba na splátky"
"Number of installments","Počet splátok"
"Minimum amount of payments in installments","Minimálna čiastka platieb na splátky"
"Order percentage for payment in installments %","Percentuálna hodnota objednávok v splátkach %"
"List of Credit card BINs","Zoznam BIN kreditných kariet"
"Order percentage %","Percento objednávok %"
"Instructions","Pokyny"
"Sort Order","Triediť objednávky"
